termino,coeficiente_estandarizado,activo
x3 x10^2,-0.0,False
x3 x10 x11,0.0,False
x3 x10 x12,0.0,False
x3 x11^2,-0.0,False
x3 x11 x12,0.0,False
x3 x12^2,-0.0,False
x4^3,-0.0041238392189616,True
x4^2 x5,0.0,False
x4^2 x6,0.0,False
x4^2 x7,0.0,False
x4^2 x8,-0.0,False
x4^2 x9,-0.0,False
x4^2 x10,0.0,False
x4^2 x11,0.0,False
x4^2 x12,-0.0,False
x4 x5^2,-0.0,False
x4 x5 x6,0.0,False
x4 x5 x7,-0.0,False
x4 x5 x8,-0.0,False
x4 x5 x9,0.0,False
x4 x5 x10,-0.0,False
x4 x5 x11,-0.0,False
x4 x5 x12,0.0,False
x4 x6^2,-0.0,False
x4 x6 x7,0.0,False
x4 x6 x8,-0.0,False
x4 x6 x9,0.0,False
x4 x6 x10,0.0,False
x4 x6 x11,0.17752889003068406,True
x4 x6 x12,-0.0,False
x4 x7^2,-0.0,False
x4 x7 x8,-0.0,False
x4 x7 x9,0.0,False
x4 x7 x10,0.0,False
x4 x7 x11,0.014362884476592334,True
x4 x7 x12,0.0,False
x4 x8^2,-0.0,False
x4 x8 x9,-0.0,False
x4 x8 x10,0.0,False
x4 x8 x11,-0.0,False
x4 x8 x12,0.0,False
x4 x9^2,-0.0,False
x4 x9 x10,-0.0,False
x4 x9 x11,0.0,False
x4 x9 x12,0.0,False
x4 x10^2,-0.17743745063161334,True
x4 x10 x11,0.0,False
x4 x10 x12,0.0,False
x4 x11^2,-0.0,False
x4 x11 x12,0.0,False
x4 x12^2,-0.0,False
x5^3,-0.0,False
x5^2 x6,-0.0,False
x5^2 x7,0.5038482817612893,True
x5^2 x8,-0.0,False
x5^2 x9,-0.0,False
x5^2 x10,-0.0,False
x5^2 x11,0.0,False
x5^2 x12,0.0,False
x5 x6^2,0.0,False
x5 x6 x7,-0.0,False
x5 x6 x8,0.0,False
x5 x6 x9,0.0,False
x5 x6 x10,-0.0,False
x5 x6 x11,-0.0,False
x5 x6 x12,0.0,False
x5 x7^2,0.0,False
x5 x7 x8,0.0,False
x5 x7 x9,-0.0,False
x5 x7 x10,-0.0,False
x5 x7 x11,-0.0,False
x5 x7 x12,-0.0,False
x5 x8^2,-0.0,False
x5 x8 x9,-0.0,False
x5 x8 x10,-0.0,False
x5 x8 x11,-0.0,False
x5 x8 x12,-0.0,False
x5 x9^2,0.0,False
x5 x9 x10,-0.0,False
x5 x9 x11,-0.0,False
x5 x9 x12,0.0,False
x5 x10^2,-0.0,False
x5 x10 x11,0.0,False
x5 x10 x12,0.0,False
x5 x11^2,0.0,False
x5 x11 x12,0.0,False
x5 x12^2,-0.0,False
x6^3,-0.0,False
x6^2 x7,-0.0,False
x6^2 x8,-0.0,False
x6^2 x9,-0.0,False
x6^2 x10,0.0,False
x6^2 x11,0.1553517945218673,True
x6^2 x12,-0.0,False
x6 x7^2,0.0,False
x6 x7 x8,-0.0,False
x6 x7 x9,0.0,False
x6 x7 x10,0.0,False
x6 x7 x11,0.0,False
x6 x7 x12,-0.0,False
x6 x8^2,0.0,False
x6 x8 x9,-0.0,False
x6 x8 x10,-0.0,False
x6 x8 x11,-0.0,False
x6 x8 x12,-0.0,False
x6 x9^2,0.0,False
x6 x9 x10,0.0,False
x6 x9 x11,0.0,False
x6 x9 x12,-0.0,False
x6 x10^2,0.037778467768970446,True
x6 x10 x11,-0.0,False
x6 x10 x12,-0.0,False
x6 x11^2,0.0,False
x6 x11 x12,0.0,False
x6 x12^2,0.0,False
x7^3,5.256048151027482,True
x7^2 x8,-0.0,False
x7^2 x9,0.0,False
x7^2 x10,0.0,False
x7^2 x11,0.3125495076625383,True
x7^2 x12,0.0,False
x7 x8^2,0.0,False
x7 x8 x9,-0.08282377292740471,True
x7 x8 x10,0.0,False
x7 x8 x11,-0.0,False
x7 x8 x12,-0.0,False
x7 x9^2,0.0,False
x7 x9 x10,0.0,False
x7 x9 x11,0.0,False
x7 x9 x12,0.0,False
x7 x10^2,0.0,False
x7 x10 x11,0.4370360303278047,True
x7 x10 x12,0.0,False
x7 x11^2,0.0,False
x7 x11 x12,-0.0,False
x7 x12^2,0.10357068170500391,True
x8^3,-0.0,False
x8^2 x9,0.0,False
x8^2 x10,-0.0,False
x8^2 x11,0.0,False
x8^2 x12,-0.0,False
x8 x9^2,-0.0,False
x8 x9 x10,0.0,False
x8 x9 x11,-0.0,False
x8 x9 x12,0.0,False
x8 x10^2,-0.0,False
x8 x10 x11,0.0,False
x8 x10 x12,-0.055093346309266725,True
x8 x11^2,-0.0,False
x8 x11 x12,-0.0,False
x8 x12^2,-0.0,False
x9^3,0.0,False
x9^2 x10,-0.0,False
x9^2 x11,0.0,False
x9^2 x12,0.0,False
x9 x10^2,-0.0,False
x9 x10 x11,0.0,False
x9 x10 x12,0.0,False
x9 x11^2,0.0,False
x9 x11 x12,-0.0,False
x9 x12^2,0.0,False
x10^3,-0.0,False
x10^2 x11,0.0,False
x10^2 x12,0.0,False
x10 x11^2,0.0,False
x10 x11 x12,-0.0,False
x10 x12^2,-0.0,False
x11^3,0.0,False
x11^2 x12,0.0,False
x11 x12^2,0.0,False
x12^3,0.0,False
